epoch;accuracy;beta;ebops;learning_rate;loss;val_accuracy;val_loss
0;0.5959497690200806;1e-06;759323;0.004999999888241291;1.7262485027313232;0.7012546062469482;0.688556432723999
1;0.6816329956054688;1e-06;521125;0.004999945405870676;1.3476985692977905;0.7100674510002136;0.6803390383720398
2;0.6985119581222534;1e-06;390112;0.004999781493097544;1.1246185302734375;0.7286518812179565;0.6208590269088745
3;0.711412787437439;1e-06;300951;0.004999509081244469;0.9865936040878296;0.7089924812316895;0.661537230014801
4;0.7087940573692322;1e-06;251680;0.004999126773327589;0.9288231730461121;0.719802737236023;0.6622300148010254
5;0.7222250699996948;1e-06;231164;0.004998635966330767;0.8682698607444763;0.7298987507820129;0.6038321256637573
6;0.724159836769104;1e-06;203349;0.004998035728931427;0.8361148238182068;0.7370337843894958;0.6031959652900696
7;0.7184248566627502;1e-06;181411;0.004997326526790857;0.8235781788825989;0.7058910131454468;0.6421658992767334
8;0.7192265391349792;1e-06;168766;0.004996508359909058;0.8096135258674622;0.7208558917045593;0.6436150670051575
9;0.7287248373031616;1e-06;153136;0.004995581228286028;0.7820620536804199;0.7431373596191406;0.5935179591178894
10;0.7275811433792114;1e-06;141896;0.004994545131921768;0.767967164516449;0.7128710746765137;0.6374360918998718
11;0.7321122288703918;1e-06;129483;0.0049934000708162785;0.7397199273109436;0.7382806539535522;0.5933764576911926
12;0.731643795967102;1e-06;125814;0.004992146044969559;0.7345868945121765;0.7428831458091736;0.5796852111816406
13;0.7324742078781128;1e-06;113918;0.004990783520042896;0.7239091992378235;0.7190110087394714;0.6268935799598694
14;0.7346190214157104;1e-06;106312;0.004989312030375004;0.7096105217933655;0.7396194934844971;0.6022760272026062
15;0.7394112348556519;1e-06;103168;0.004987732041627169;0.697803795337677;0.7373533248901367;0.5926399230957031
16;0.7338823676109314;1e-06;95028;0.0049860430881381035;0.7005115747451782;0.736835241317749;0.5917152762413025
17;0.7417666912078857;1e-06;89727;0.004984246101230383;0.6824478507041931;0.7460693120956421;0.5762909054756165
18;0.7404317259788513;1e-06;84284;0.004982340149581432;0.6808043718338013;0.7446917295455933;0.5774739980697632
19;0.7391276955604553;1e-06;80339;0.004980326164513826;0.6741257905960083;0.7512117624282837;0.5694847702980042
20;0.7390453815460205;1e-06;75720;0.004978203680366278;0.6696664690971375;0.7371523976325989;0.5864498019218445
21;0.7384064793586731;1e-06;75061;0.004975973162800074;0.6671579480171204;0.7449943423271179;0.5808847546577454
22;0.7404229640960693;1e-06;69243;0.004973634611815214;0.656259298324585;0.7252357006072998;0.6239959001541138
23;0.7439072132110596;1e-06;67341;0.004971188027411699;0.6514785885810852;0.7470135688781738;0.5694610476493835
24;0.7415590882301331;1e-06;66452;0.004968633875250816;0.6520248055458069;0.7405637502670288;0.5889722108840942
25;0.7435788512229919;1e-06;62974;0.004965971224009991;0.6455146074295044;0.7349031567573547;0.6039386987686157
26;0.7433685660362244;1e-06;61723;0.004963201470673084;0.6407108306884766;0.7351114153862;0.5944166779518127
27;0.7419846057891846;1e-06;59698;0.00496032414957881;0.645561158657074;0.751831591129303;0.5609891414642334
28;0.7456464767456055;1e-06;57479;0.004957339260727167;0.6344693303108215;0.7521729469299316;0.5619127154350281
29;0.7412567138671875;1e-06;54219;0.004954247269779444;0.6416090726852417;0.7429364323616028;0.578758955001831
30;0.7440416216850281;1e-06;55405;0.00495104817673564;0.6381731033325195;0.7497276067733765;0.5685452818870544
31;0.7396255135536194;1e-06;53143;0.004947741981595755;0.6430282592773438;0.7337628602981567;0.6010602116584778
32;0.7413626313209534;1e-06;51992;0.004944328684359789;0.6330632567405701;0.7503764629364014;0.5659422278404236
33;0.7368618249893188;1e-06;50614;0.00494080875068903;0.641550600528717;0.7346101999282837;0.6147119998931885
34;0.7382424473762512;1e-06;51889;0.004937182646244764;0.6369175314903259;0.74820476770401;0.5693820714950562
35;0.7394297122955322;1e-06;49423;0.0049334499053657055;0.6388186812400818;0.7522770762443542;0.5622738599777222
36;0.7462989687919617;1e-06;50068;0.0049296109937131405;0.6207118630409241;0.7519429326057434;0.5595718026161194
37;0.7404341697692871;1e-06;49426;0.004925665911287069;0.6359800100326538;0.739130437374115;0.5920785069465637
38;0.745345950126648;1e-06;45678;0.004921615123748779;0.6207743883132935;0.7485485672950745;0.5676365494728088
39;0.7421277165412903;1e-06;45766;0.004917458165436983;0.6294106841087341;0.7495654225349426;0.5661116242408752
40;0.7447149753570557;1e-06;44375;0.004913196433335543;0.6197575926780701;0.7401763796806335;0.5844123363494873
